Name,Street Address,Location,Address,Latitude,Longitude,Type 1,Type 2,Type 3,Reviews,Out of 5,No of Reviews,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
Shiki Sushi and Grill,1408 N Louisiana St,"Kennewick, WA 99336-7167","1408 N Louisiana St, Kennewick, WA 99336-7167",46.2268059,-119.2331778,Japanese,Sushi,Asian,4.5 of 5 bubbles,4.5,31 reviews,31,"Second time here, first time for dinner. We were seated promptly, which was great as they were fairly busy on a Friday early evening. We started with the Pork Gyoza, essentially pot stickers. Very good and the right “weight” for an appetizer. Also had a...More",+1 509-820-3788,https://www.tripadvisor.com//Restaurant_Review-g58536-d10891035-Reviews-Shiki_Sushi_and_Grill-Kennewick_Tri_Cities_Washington.html,Check The Website for a Menu,$$ - $$$
Swagat Indian Cuisine,2233 Grand Canal Blvd,"Stockton, CA 95207-6657","2233 Grand Canal Blvd, Stockton, CA 95207-6657",37.9849765,-121.333557,Indian,Vegan Options,Vegetarian Friendly,4.5 of 5 bubbles,4.5,31 reviews,31,,+1 209-478-4724,https://www.tripadvisor.com//Restaurant_Review-g33130-d4368644-Reviews-Swagat_Indian_Cuisine-Stockton_California.html,Check The Website for a Menu,$$ - $$$
Arepa Lady,7702 Roosevelt Ave,"Jackson Heights, NY 11372-6612","7702 Roosevelt Ave, Jackson Heights, NY 11372-6612",40.7469464,-73.8884568,Latin,Spanish,South American,4.5 of 5 bubbles,4.5,32 reviews,32,This is a wonderful restaurant for arepas. We enjoyed every bite! The service was good and the restaurant is small and inviting.,+1 347-730-6124,https://www.tripadvisor.com//Restaurant_Review-g47960-d5579971-Reviews-Arepa_Lady-Jackson_Heights_Queens_New_York.html,Check The Website for a Menu,$
Blaze Pizza,691 Broad St,"Newark, NJ 07102-4405","691 Broad St, Newark, NJ 07102-4405",40.7384119,-74.1708115,Pizza,Fast Food,Vegetarian Friendly,4.5 of 5 bubbles,4.5,32 reviews,32,"First time visited and it was a Stellar Experience. They have different types of crust available, such as vegan dough, clauiflower etc. Then you have different cheeses to choose from such as vegan cheeses, mozzarella etc. Assorted sauces and toppings such as mushrooms, tomatoes, avocado...More",Not Available,https://www.tripadvisor.com//Restaurant_Review-g46671-d9564253-Reviews-Blaze_Pizza-Newark_New_Jersey.html,http://www.blazepizza.com/menu/,$
Cactus Cantina,151 E Alessandro Blvd,"Riverside, CA 92508","151 E Alessandro Blvd, Riverside, CA 92508",33.9163719,-117.324376,Mexican,Southwestern,Bar,4.5 of 5 bubbles,4.5,32 reviews,32,,+1 951-789-0211,https://www.tripadvisor.com//Restaurant_Review-g32978-d2687580-Reviews-Cactus_Cantina-Riverside_California.html,Check The Website for a Menu,$$ - $$$
China Palace,5052 West Ln,"Stockton, CA 95210-3590","5052 West Ln, Stockton, CA 95210-3590",38.0005987,-121.2886092,Chinese,Asian,,4.5 of 5 bubbles,4.5,32 reviews,32,,+1 209-955-0888,https://www.tripadvisor.com//Restaurant_Review-g33130-d1737619-Reviews-China_Palace-Stockton_California.html,Check The Website for a Menu,$$ - $$$
Fresco Mexican Grill,1431 California Ave,"Bakersfield, CA 93304-1407","1431 California Ave, Bakersfield, CA 93304-1407",35.3681853,-119.0183057,Quick Bites,Mexican,Latin,4.5 of 5 bubbles,4.5,32 reviews,32,,+1 661-326-1977,https://www.tripadvisor.com//Restaurant_Review-g32037-d4248785-Reviews-Fresco_Mexican_Grill-Bakersfield_California.html,Check The Website for a Menu,$
Lolita's Bistro,6956 McPherson Rd,"Laredo, TX 78041-6407","6956 McPherson Rd, Laredo, TX 78041-6407",27.5661006,-99.4736614,Vegan Options,,,4.5 of 5 bubbles,4.5,32 reviews,32,"Being relatively new to Laredo, we were looking for someplace new to eat and found this restaurant tucked a bit between 2 buildings with outdoor lights swung from building to building over the parking...I loved that! The entrance is next to an outdoor seating with...More",+1 956-568-5334,https://www.tripadvisor.com//Restaurant_Review-g56137-d4402144-Reviews-Lolita_s_Bistro-Laredo_Texas.html,https://www.lolitasbistro.com/menus/,$$ - $$$
Mile Wine Company,2113 Pacific Ave,"Stockton, CA 95204-5329","2113 Pacific Ave, Stockton, CA 95204-5329",37.9713125,-121.3004484,Wine Bar,American,Pub,4.5 of 5 bubbles,4.5,32 reviews,32,,+1 209-465-9463,https://www.tripadvisor.com//Restaurant_Review-g33130-d5267032-Reviews-Mile_Wine_Company-Stockton_California.html,Check The Website for a Menu,$$ - $$$
Prime Table Steakhouse,357 Lincoln Ctr,"Stockton, CA 95207-2630","357 Lincoln Ctr, Stockton, CA 95207-2630",38.0120131,-121.3233569,American,Steakhouse,,4.5 of 5 bubbles,4.5,32 reviews,32,,+1 209-808-5999,https://www.tripadvisor.com//Restaurant_Review-g33130-d11913784-Reviews-Prime_Table_Steakhouse-Stockton_California.html,http://www.primetablestk.com/files/Prime_Table_Menu.pdf,$$$$
Bangkok Thai Restaurant,520 39th Ave SW,"Puyallup, WA 98373-5981","520 39th Ave SW, Puyallup, WA 98373-5981",47.1545862,-122.299417,Asian,Thai,Vegetarian Friendly,4.5 of 5 bubbles,4.5,33 reviews,33,"Years ago, this was THE place for Thai food. I used to RAVE about this place. I used to take Thai friends there.
Sadly, its really gone downhill. The peanut sauce used to be an 11 on a scale of 1-10. Now its kinda blah....More",+1 253-445-8040,https://www.tripadvisor.com//Restaurant_Review-g58693-d4633689-Reviews-Bangkok_Thai_Restaurant-Puyallup_Washington.html,Check The Website for a Menu,$$ - $$$
Cosmos Bar and Grill,201 W Del Mar Blvd,"Laredo, TX 78041-2240","201 W Del Mar Blvd, Laredo, TX 78041-2240",27.5665708,-99.4994851,American,Mexican,Steakhouse,4.5 of 5 bubbles,4.5,33 reviews,33,"Has excellent food— delicious Cesar salad and fried mushrooms. Great drinks, too! We go here every time we travel to Laredo.",+1 956-727-3393,https://www.tripadvisor.com//Restaurant_Review-g56137-d2303058-Reviews-Cosmos_Bar_and_Grill-Laredo_Texas.html,Check The Website for a Menu,$$ - $$$
Eggsellent,12388 FM 423,"Frisco, TX 75033-4965","12388 FM 423, Frisco, TX 75033-4965",33.1810854,-96.8861638,American,Cafe,Vegetarian Friendly,4.5 of 5 bubbles,4.5,33 reviews,33,"Coffee was not hot and because of that not that appealing. Denver omelet was good. Pancakes were good but came with a finite amount of syrup and once that was gone, pancakes were dry. Service was good. A little dismayed coffee has now reached $3...More",+1 469-362-6770,https://www.tripadvisor.com//Restaurant_Review-g55870-d12060493-Reviews-Eggsellent-Frisco_Texas.html,Check The Website for a Menu,$$ - $$$
Europa Bar and Restaurant,625 Westfield Ave,"Elizabeth, NJ 07208-1396","625 Westfield Ave, Elizabeth, NJ 07208-1396",40.66573,-74.2355862,Portuguese,Seafood,European,4.5 of 5 bubbles,4.5,33 reviews,33,Great Portuguese restaruant food was great service was outstanding. We love the sangria. We have been going here for a very long time not regulars but more like our go to for fine portuguese food without going to Newark tonight! Paella Marinara is so fresh...More,+1 908-355-2233,https://www.tripadvisor.com//Restaurant_Review-g46414-d2350664-Reviews-Europa_Bar_and_Restaurant-Elizabeth_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Malakor Thai Restaurant,101 SW 41st St,"Renton, WA 98057-4974","101 SW 41st St, Renton, WA 98057-4974",47.4434069,-122.21922,Asian,Thai,Vegetarian Friendly,4.5 of 5 bubbles,4.5,33 reviews,33,We went there Monday last week. It was a business lunch and it’s my first time going there. I’m not impress with the service. It took us 10 mins to wait for the server to go to our table to take our order. Barely even...More,+1 425-251-1968,https://www.tripadvisor.com//Restaurant_Review-g58704-d7282330-Reviews-Malakor_Thai_Restaurant-Renton_Washington.html,https://www.malakorthai.com/menu,$$ - $$$
Savor Bistro,20122 Stone Oak Pkwy,"San Antonio, TX 78258","20122 Stone Oak Pkwy, San Antonio, TX 78258",29.6424487,-98.482403,Italian,French,Steakhouse,4.5 of 5 bubbles,4.5,33 reviews,33,"What a find!

First of all, I wanted to thank the manager for allowing my team to have a morning meeting in their restaurant. They were very courteous and willing to host us. Superb customer service and the entire breakfast menu as the people my...More",+1 210-504-4600,https://www.tripadvisor.com//Restaurant_Review-g60956-d17834689-Reviews-Savor_Bistro-San_Antonio_Texas.html,Check The Website for a Menu,$$$$
Taqueria Ultimo Taco,938 N Expressway,"Brownsville, TX 78521-1404","938 N Expressway, Brownsville, TX 78521-1404",25.9380148,-97.4986051,Mexican,Latin,Spanish,4.5 of 5 bubbles,4.5,33 reviews,33,"A popular joint in the area. I heard about this place as a great recommendation from several people in South Padre Island, TX. So my wife and I had to check it out. The place is not very big, but the first thing I noticed...More",+1 956-554-7663,https://www.tripadvisor.com//Restaurant_Review-g60928-d4467435-Reviews-Taqueria_Ultimo_Taco-Brownsville_Texas.html,Check The Website for a Menu,$
The Rouxpour - Katy,2643 Commercial Center Blvd,"Katy, TX 77494-6408","2643 Commercial Center Blvd, Katy, TX 77494-6408",29.7407241,-95.7753411,Cajun & Creole,Seafood,American,4.5 of 5 bubbles,4.5,33 reviews,33,"I went there for dinner with friends and I had the blackened salmon. It was very tasty. I also had the mashed potatoes as a side, I cleaned my plate! The food was good.
Long wait for the table, but there’s a bar you can...More",+1 281-394-5013,https://www.tripadvisor.com//Restaurant_Review-g56062-d15100857-Reviews-The_Rouxpour_Katy-Katy_Texas.html,https://www.therouxpour.com/menus/,$$ - $$$
Azzurro,55 Brick Blvd,"Brick, NJ 08723-7922","55 Brick Blvd, Brick, NJ 08723-7922",40.0249617,-74.1414292,Italian,Pizza,Vegetarian Friendly,4.5 of 5 bubbles,4.5,34 reviews,34,We came in with a large group. Sydney and Jen were awesome servers and the food was amazing. Highly recommend the vodka sauce and the eggplant parm!,+1 732-255-8400,https://www.tripadvisor.com//Restaurant_Review-g46321-d3405873-Reviews-Azzurro-Brick_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Hakata Ikkosha Torrance,21605 S Western Ave,"Torrance, CA 90501-3051","21605 S Western Ave, Torrance, CA 90501-3051",33.8327262,-118.3098475,Japanese,Asian,,4.5 of 5 bubbles,4.5,34 reviews,34,,+1 424-558-8535,https://www.tripadvisor.com//Restaurant_Review-g33182-d8536074-Reviews-Hakata_Ikkosha_Torrance-Torrance_California.html,Check The Website for a Menu,$$ - $$$
Pho Anh Dao,775 Rt. 1 South & Old Post Road,"Edison, NJ 08817","775 Rt. 1 South & Old Post Road, Edison, NJ 08817",40.5124338,-74.383623,Asian,Vietnamese,Vegetarian Friendly,4.5 of 5 bubbles,4.5,34 reviews,34,Pho and service was EXCELLENT! I look forward to eating there again and will be sure to take pics. Establishment is located in a shopping centrr so there is plenty of parking.,+1 732-985-7977,https://www.tripadvisor.com//Restaurant_Review-g46410-d4516114-Reviews-Pho_Anh_Dao-Edison_New_Jersey.html,http://phoanhdaoedison.com/menu/,$
Royal India Restaurant,7531 196th St SW,"Lynnwood, WA 98036-5079","7531 196th St SW, Lynnwood, WA 98036-5079",47.8217247,-122.3353153,Indian,Vegetarian Friendly,Vegan Options,4.5 of 5 bubbles,4.5,34 reviews,34,"My husband and I love this restaurant. We have been going here for a while now. The food is amazing, the staff is friendly and knew who we were by our second trip, and the atmosphere is romantic. My favorite dish is the butter chicken...More",+1 425-967-3636,https://www.tripadvisor.com//Restaurant_Review-g58578-d3834608-Reviews-Royal_India_Restaurant-Lynnwood_Washington.html,https://royalindiacuisine.com/menu/,$$ - $$$
Sugar and Spice Cafe,2600 South Rd,"Poughkeepsie, NY 12601-7003","2600 South Rd, Poughkeepsie, NY 12601-7003",41.6658577,-73.9277833,Cafe,American,Vegetarian Friendly,4.5 of 5 bubbles,4.5,34 reviews,34,"Great cafe type restaurant. The wait for the food was a little long for my liking, but the food was definitely worth the wait. Also, the seating can be a little tricky if you are in a group and it is crowded. Overall I would...More",+1 845-471-4603,https://www.tripadvisor.com//Restaurant_Review-g48443-d4732587-Reviews-Sugar_and_Spice_Cafe-Poughkeepsie_New_York.html,http://www.sugarspicecafe.com/cafemenu.html,$$ - $$$
Taco Palenque San Bernardo,4515 San Bernardo Ave,"Laredo, TX 78041-5717","4515 San Bernardo Ave, Laredo, TX 78041-5717",27.5415813,-99.5038932,Mexican,Latin,Fast Food,4.5 of 5 bubbles,4.5,34 reviews,34,"Had a quick lunch at Taco Palenque with a coworker while working in Laredo. I had a beef fajita burrito and he had a taco plate. Both were medicorce. Portions looked substantial but quantity of meat was minimal and quality of ingredients was poor (e.g.,...More",+1 956-725-9898,https://www.tripadvisor.com//Restaurant_Review-g56137-d4817124-Reviews-Taco_Palenque_San_Bernardo-Laredo_Texas.html,https://www.tacopalenque.com/menu/,$
The Upper Crust Sandwich Shoppe,3573 Main St,"Riverside, CA 92501-2836","3573 Main St, Riverside, CA 92501-2836",33.984329,-117.3732612,Soups,American,,4.5 of 5 bubbles,4.5,34 reviews,34,,+1 951-784-3149,https://www.tripadvisor.com//Restaurant_Review-g32978-d4433384-Reviews-The_Upper_Crust_Sandwich_Shoppe-Riverside_California.html,Check The Website for a Menu,$
Akasaka Restaurant,31407 Pacific Hwy S Ste H,"Federal Way, WA 98003-5403","31407 Pacific Hwy S Ste H, Federal Way, WA 98003-5403",47.320334,-122.3138276,Japanese,Sushi,Asian,4.5 of 5 bubbles,4.5,35 reviews,35,"Service was the worst ever and the food was mediocre at best. Read on for more:
We were seated for about seven minutes before our order was taken.
We were not given the little appetizer dishes until 15 minutes after that, and only because I...More",+1 253-946-3858,https://www.tripadvisor.com//Restaurant_Review-g58471-d866189-Reviews-Akasaka_Restaurant-Federal_Way_Washington.html,http://eat24hrs.com/restaurants/order2/menu.php?id=45288,$$ - $$$
Ban SomTum Isaan Thai,35109 Pacific Hwy S,"Federal Way, WA 98003-8310","35109 Pacific Hwy S, Federal Way, WA 98003-8310",47.2864867,-122.3203767,Asian,Thai,Vegetarian Friendly,4.5 of 5 bubbles,4.5,35 reviews,35,"Always on the look out for unique regional Thai, this restaurant focuses on Northern Thai or Lao Thai. Thailand has 5 distinctive food regions. Americans are usually only accustomed to one region. This region specializes in Som Tom (papaya salad) Larb and others dishes. One...More",+1 253-517-3873,https://www.tripadvisor.com//Restaurant_Review-g58471-d10490373-Reviews-Ban_SomTum_Isaan_Thai-Federal_Way_Washington.html,http://bansomtum.com/menu-2/,$$ - $$$
Bangkok Thai,101 N Argonne Rd,"Spokane Valley, WA 99212-2833","101 N Argonne Rd, Spokane Valley, WA 99212-2833",47.6578608,-117.2834971,Asian,Thai,Vegetarian Friendly,4.5 of 5 bubbles,4.5,35 reviews,35,This Thai restaurant had a wonderful choice of Thai food. The portions were not too bad either. We went on a Sunday evening and it wasn’t too crowded. I would recommend this restaurant if you enjoy Thai.,+1 509-315-9943,https://www.tripadvisor.com//Restaurant_Review-g1784998-d3196533-Reviews-Bangkok_Thai-Spokane_Valley_Washington.html,http://www.SpokaneBangkokThai.com/menus/,$$ - $$$
Cyndia's,169 Union Blvd,"Totowa, NJ 07512-2603","169 Union Blvd, Totowa, NJ 07512-2603",40.9079042,-74.206239,American,Vegetarian Friendly,,4.5 of 5 bubbles,4.5,35 reviews,35,Despite the long wait on a recent Sunday morning the breakfast was worth it. Our server was very friendly and offered suggestions. My husband got the Bagel Platter which had a nice amount of lox. I had the chicken waffles which were so good. I...More,+1 973-925-7778,https://www.tripadvisor.com//Restaurant_Review-g46871-d4837355-Reviews-Cyndia_s-Totowa_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Patsy's Tavern & Restaurant,72 7th Ave,"Paterson, NJ 07524-2005","72 7th Ave, Paterson, NJ 07524-2005",40.9307325,-74.1530581,Italian,Pizza,Pub,4.5 of 5 bubbles,4.5,35 reviews,35,"Do you believe that time has passed by the old time pizzaria/restaurants of your childhood? Well, if so a trip to Patsy's is in order. The place is virtually the same from my childhood some 65 years ago, and I am informed it still looks...More",+1 973-742-9596,https://www.tripadvisor.com//Restaurant_Review-g46718-d4953134-Reviews-Patsy_s_Tavern_Restaurant-Paterson_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Plaza Garcia,12108 Juanita Dr NE,"Kirkland, WA 98034","12108 Juanita Dr NE, Kirkland, WA 98034",47.7087261,-122.2372163,Mexican,Latin,Spanish,4.5 of 5 bubbles,4.5,35 reviews,35,"After we moved from Kirkland we have been in search of a similarly great Mexican restaurant in our new hometown. We have tried several but have yet to find anything close to Plaza Garcia. Whenever we return to Kirkland, we always make it a point...More",+1 425-814-3012,https://www.tripadvisor.com//Restaurant_Review-g58541-d7337015-Reviews-Plaza_Garcia-Kirkland_Washington.html,Check The Website for a Menu,$$ - $$$
Ribs On the Run,396 Central Ave,"White Plains, NY 10606-1211","396 Central Ave, White Plains, NY 10606-1211",41.032569,-73.7870042,Barbecue,American,,4.5 of 5 bubbles,4.5,35 reviews,35,"Took the chicken and ribs combo - was very good

Falling of the bone as they should

BBQ sauce also tasty",+1 914-428-7427,https://www.tripadvisor.com//Restaurant_Review-g48883-d4643639-Reviews-Ribs_On_the_Run-White_Plains_New_York.html,Check The Website for a Menu,$
Thai House,14 N 2nd St,"Yakima, WA 98901-2612","14 N 2nd St, Yakima, WA 98901-2612",46.6030234,-120.5052835,Asian,Thai,Vegan Options,4.5 of 5 bubbles,4.5,35 reviews,35,"A must try for Thai. Great chef who pays attention to the details. Hands down one of the best restaurants in Yakima. Be patient, when they get busy you’ll need to wait for this well prepared authentic fare. Great!!!!!!",+1 509-469-8986,https://www.tripadvisor.com//Restaurant_Review-g58838-d7064310-Reviews-Thai_House-Yakima_Washington.html,Check The Website for a Menu,$$ - $$$
Torna A Sorrento,52 Westfield Ave,"Elizabeth, NJ 07208-3660","52 Westfield Ave, Elizabeth, NJ 07208-3660",40.6681321,-74.218437,Italian,Vegetarian Friendly,,4.5 of 5 bubbles,4.5,35 reviews,35,"If you have one evening in Newark, eat here!
We're flying out of Newark in the morning, staying in a hotel here tonight, and found the good reviews for Torna A Sorrento enticing after a long drive from Maine.
We were not disappointed. We called...More",908-351-4060,https://www.tripadvisor.com//Restaurant_Review-g46414-d508942-Reviews-Torna_A_Sorrento-Elizabeth_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Emiliano's Pizza,111 Main St,"Poughkeepsie, NY 12601","111 Main St, Poughkeepsie, NY 12601",41.7057558,-73.934811,Pizza,Italian,Vegetarian Friendly,4.5 of 5 bubbles,4.5,36 reviews,36,"Classic Pizzeria with great pizza, appetizers and meals. The stuffed pizza is amazing! Great atmosphere with a comfortable, friendly, family environment.",+1 845-473-1414,https://www.tripadvisor.com//Restaurant_Review-g48443-d4623177-Reviews-Emiliano_s_Pizza-Poughkeepsie_New_York.html,http://www.emilianospizza.com/our-menu,$
Flying Saucer Pizza,14712 NE 91st St,"Redmond, WA 98052-3478","14712 NE 91st St, Redmond, WA 98052-3478",47.6835806,-122.1443199,Pizza,Vegetarian Friendly,,4.5 of 5 bubbles,4.5,36 reviews,36,"This is a great pizza/calzone place with a lot of creative ingredient options. Personally not a beer fan, but a lot of other people were appreciating the beer options on tap. Jones sodas on tap too, which were great. Our family of four, with teenagers,...More",+1 425-376-2700,https://www.tripadvisor.com//Restaurant_Review-g58702-d819748-Reviews-Flying_Saucer_Pizza-Redmond_Washington.html,Check The Website for a Menu,$$ - $$$
King of Shish Kabob,932 McBride Ave,"Woodland Park, NJ 07424-2619","932 McBride Ave, Woodland Park, NJ 07424-2619",40.8936603,-74.2028683,Middle Eastern,Lebanese,Mediterranean,4.5 of 5 bubbles,4.5,36 reviews,36,"Though this restaurant has been here over 20 years we have only recently discovered it. Food is wonderful, fresh and cooked to order. Don’t let its older appearance fool
You, this is a must!!!!!!",+1 973-812-9888,https://www.tripadvisor.com//Restaurant_Review-g3411624-d2290651-Reviews-King_of_Shish_Kabob-Woodland_Park_New_Jersey.html,Check The Website for a Menu,$
Miss Saigon,3333 Chadwick Square US 9,"Freehold, NJ 07728","3333 Chadwick Square US 9, Freehold, NJ 07728",40.2544814,-74.2890561,Asian,Vietnamese,Soups,4.5 of 5 bubbles,4.5,36 reviews,36,"This was our first time dining in an authentic Vietnamese restaurant. We asked a young waiter for his suggestions. While somewhat helpful, we needed to read the menu for ourselves. 

We started with the Pho Tai. This was delicious with the peanut sauce. We ordered...More",+1 732-462-7497,https://www.tripadvisor.com//Restaurant_Review-g46453-d7376289-Reviews-Miss_Saigon-Freehold_New_Jersey.html,Check The Website for a Menu,$
Nanking rockaway,13407 Rockaway Blvd,"South Ozone Park, NY 11420-3020","13407 Rockaway Blvd, South Ozone Park, NY 11420-3020",40.6748382,-73.8039581,Indian,Asian,Chinese,4.5 of 5 bubbles,4.5,36 reviews,36,We're just staying in a hotel near my for an early morning flight. So glad we decided to leave the hotel restaurant behind and try this place! The neighborhood is a little sketchy but there was plenty of parking right in front! The food is...More,+1 718-323-3555,https://www.tripadvisor.com//Restaurant_Review-g2056275-d4283090-Reviews-Nanking_rockaway-South_Ozone_Park_Queens_New_York.html,Check The Website for a Menu,$$ - $$$
Salt Seafood & Oyster Bar,103 Church St,"New Brunswick, NJ 08901-1242","103 Church St, New Brunswick, NJ 08901-1242",40.4960916,-74.4436414,Seafood,,,4.5 of 5 bubbles,4.5,36 reviews,36,On a recommendation from a colleague three of us went to Salt last Monday. It was spectacular. Raw oysters were delicious. The halibut was perfect. I've been to several restaurants in NB including most of the top ones but the high quality food and lack...More,+1 732-745-7258,https://www.tripadvisor.com//Restaurant_Review-g46664-d16694048-Reviews-Salt_Seafood_Oyster_Bar-New_Brunswick_New_Jersey.html,https://saltrestaurantnj.com/wp-content/uploads/2018/09/BarMenuFull.pdf,$$ - $$$
Sla Thai Restaurant,38 Upper Montclair Plz,"Montclair, NJ 07043-1320","38 Upper Montclair Plz, Montclair, NJ 07043-1320",40.839793,-74.208914,Asian,Thai,Vegetarian Friendly,4.5 of 5 bubbles,4.5,36 reviews,36,First time coming here last night and oh my gosh how memorable it was! I had curry that is a signature dish from northern part of Thailand and the taste is just mind blowing. The staffs are all very polite and helpful and decent portion...More,+1 973-509-0111,https://www.tripadvisor.com//Restaurant_Review-g46637-d10110181-Reviews-Sla_Thai_Restaurant-Montclair_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Wendy's Country Cafe,1915 California St,"Everett, WA 98201-3602","1915 California St, Everett, WA 98201-3602",47.980817,-122.2033923,American,Cafe,Diner,4.5 of 5 bubbles,4.5,36 reviews,36,"Looking for different places to go with my nephew .The wife and I were in downtown Everett , and decided to check it out ourselves. So glad we did. Nice and quaint, Omelets were very light and fluffy... A very good experience.",+1 425-259-4827,https://www.tripadvisor.com//Restaurant_Review-g58466-d2320796-Reviews-Wendy_s_Country_Cafe-Everett_Washington.html,Check The Website for a Menu,$
Wicked Pie Pizza,112 S Meridian,"Puyallup, WA 98371-5918","112 S Meridian, Puyallup, WA 98371-5918",47.1914384,-122.294094,Pizza,Italian,Vegetarian Friendly,4.5 of 5 bubbles,4.5,36 reviews,36,First time at this restaurant and loved it. We had heard high reviews but didn’t have high expectations cuz we often times are disappointed with other people’s reviews. But I have to say we will definitely be back again and again. I order the house...More,+1 253-256-4698,https://www.tripadvisor.com//Restaurant_Review-g58693-d12394565-Reviews-Wicked_Pie_Pizza-Puyallup_Washington.html,Check The Website for a Menu,$$ - $$$
Acquista Trattoria,17801 Union Tpke,"Flushing, NY 11366-1633","17801 Union Tpke, Flushing, NY 11366-1633",40.7265345,-73.7899127,Italian,Pizza,Vegetarian Friendly,4.5 of 5 bubbles,4.5,37 reviews,37,"stopped for dinner after seeing Lucie Arnaz @ the Little Theater @ St. John's-glad we did
we had: egg plant parm hero; chicken monte carlo(chicken breast w asparagus, mozzarella sauteed in champagne sauce w mixed veggies w a glass of a nice sicilian white made...More",+1 718-969-1411,https://www.tripadvisor.com//Restaurant_Review-g47729-d923235-Reviews-Acquista_Trattoria-Flushing_Queens_New_York.html,http://acquistany.com/menu,$$ - $$$
Atlanta Bread,1042 Cedar Bridge Ave,"Brick, NJ 08723-4000","1042 Cedar Bridge Ave, Brick, NJ 08723-4000",40.0562977,-74.1414265,American,Soups,Vegetarian Friendly,4.5 of 5 bubbles,4.5,37 reviews,37,"Good, if expensive, but a great tasting meal. Great location near three main roads, parking may be tough because it's a pad location and there's another eatery next door.",+1 732-451-1400,https://www.tripadvisor.com//Restaurant_Review-g46321-d7182400-Reviews-Atlanta_Bread-Brick_New_Jersey.html,Check The Website for a Menu,$
La Costa Grill,3300 E. Expressway 83,"McAllen, TX 78501","3300 E. Expressway 83, McAllen, TX 78501",26.1607,-97.9584061,Seafood,Mexican,Latin,4.5 of 5 bubbles,4.5,37 reviews,37,"We went as a large group after meeting, the service was good and very clean facility. The food was smaller portions and somewhat pricey for what I expected, however, the dishes I tried were unique and VERY tasty 😋. The waiter provided a good recommendation,...More",+1 956-630-9928,https://www.tripadvisor.com//Restaurant_Review-g56255-d10375431-Reviews-La_Costa_Grill-McAllen_Texas.html,http://www.lacostagrill.com/assets/menueng19.pdf,$$ - $$$
Porter's Real Barbecue,1022 N Columbia Center Blvd,"Kennewick, WA 99336","1022 N Columbia Center Blvd, Kennewick, WA 99336",46.2207289,-119.223615,American,Barbecue,,4.5 of 5 bubbles,4.5,37 reviews,37,"This is the REAL DEAL. Sampled brisket, turkey, BBQ beans and coleslaw. Moist brisket was delicious with a flavorful bark. BBQ beans were excellent. Highly recommended and deserving of a repeat visit.",+1 509-942-9590,https://www.tripadvisor.com//Restaurant_Review-g58536-d13949365-Reviews-Porter_s_Real_Barbecue-Kennewick_Tri_Cities_Washington.html,https://portersrealbbq.com/catering-menu/,$$ - $$$
Raw Japanese Bistro & Sushi Bar,10742 Trinity Pkwy,"Stockton, CA 95219-7233","10742 Trinity Pkwy, Stockton, CA 95219-7233",38.0574307,-121.375269,Japanese,Sushi,Asian,4.5 of 5 bubbles,4.5,37 reviews,37,,+1 209-954-9729,https://www.tripadvisor.com//Restaurant_Review-g33130-d4949278-Reviews-Raw_Japanese_Bistro_Sushi_Bar-Stockton_California.html,Check The Website for a Menu,$$ - $$$
Aki Sushi,321 N Columbia Center Blvd,"Kennewick, WA 99336","321 N Columbia Center Blvd, Kennewick, WA 99336",46.211765,-119.2263044,Japanese,Sushi,Asian,4.5 of 5 bubbles,4.5,38 reviews,38,We went here on a recommendation of a friend and were pleasantly surprised. The food was fabulous with generous portions and the prices were very reasonable. The service was quick and excellent. This will definitely be our new go to place for lunch.,+1 509-619-0928,https://www.tripadvisor.com//Restaurant_Review-g58536-d10606227-Reviews-Aki_Sushi-Kennewick_Tri_Cities_Washington.html,Check The Website for a Menu,$$ - $$$
Bazille,3200 184th St SW,"Lynnwood, WA 98037","3200 184th St SW, Lynnwood, WA 98037",47.8308617,-122.2740043,American,Vegetarian Friendly,Vegan Options,4.5 of 5 bubbles,4.5,38 reviews,38,"Bazille is worth the parking and the Mall hassle.
Note that you have to pass through a section of women's clothing for sale that is so expensive it's almost laughable. Including, on the evening we were there, an $800 little number that I swear looks...More",+1 425-329-2108,https://www.tripadvisor.com//Restaurant_Review-g58578-d1080450-Reviews-Bazille-Lynnwood_Washington.html,Check The Website for a Menu,$$ - $$$
Craft And Gather,4403 S Dishman Mica Rd,"Spokane Valley, WA 99206-9373","4403 S Dishman Mica Rd, Spokane Valley, WA 99206-9373",47.6133584,-117.2434723,American,Bar,Pub,4.5 of 5 bubbles,4.5,38 reviews,38,We enjoyed drinks and dinner on New Years Eve at Craft and Gather. The Maple Old Fashioned was quite good and I really enjoyed my Kayleigh Salad with Chicken. Cool spot in Spokane Valley.,+1 509-795-1825,https://www.tripadvisor.com//Restaurant_Review-g1784998-d12483644-Reviews-Craft_And_Gather-Spokane_Valley_Washington.html,Check The Website for a Menu,$$ - $$$
